File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,PRE_BUG,POST_BUG
src/main/org/apache/tools/ant/AntClassLoader.java,17,2,0,9,64,76,7,2,9,0.879166667,713,0.6,2,0.829268293,0.339285714,1,3,40.05882353,1.823529412,9,801,146,255,118,288,26.92,25,1056,264,40.14,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/BuildEvent.java,11,2,0,7,15,13,5,3,11,0.75,97,1,3,0.2,0.220779221,0,0,7.272727273,1,1,1,1,1,1,288,288,1,2,2,40.14,1,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/BuildException.java,14,4,0,99,28,0,98,1,14,0.384615385,153,1,1,0.75,0.333333333,1,2,9.785714286,1.142857143,2,34,29,5,2,288,142.5,4,39,30,40.14,2,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/BuildListener.java,7,1,0,6,7,21,5,1,7,2,7,0,0,0,1,0,0,0,1,1,9,8,10,9,288,152.5,2,19,17,40.14,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/BuildLogger.java,4,1,0,3,4,6,2,1,4,2,4,0,0,0,0.5,0,0,0,1,1,10,4,7,5,288,146.75,4,17,9,40.14,3,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/DefaultLogger.java,14,1,1,8,32,49,4,4,12,0.835164835,257,1,0,0,0.307692308,0,0,16.85714286,1.785714286,6,92,38,60,21,288,51.16,12,152,59,42.85,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/DesirableFilter.java,2,1,0,0,6,1,0,0,2,2,45,0,0,0,0.666666667,0,0,21.5,4.5,8,17,10,2,1,288,143.75,4,19,10,40.14,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/DirectoryScanner.java,23,1,1,22,51,181,20,2,14,0.731404959,1407,1,0,0,0.290909091,0,0,59.69565217,5.956521739,35,167,110,36,19,288,51.5,12,203,129,40.14,5,TRUE,TRUE,FALSE
src/main/org/apache/tools/ant/FileScanner.java,13,1,0,4,13,78,4,0,13,2,13,0,0,0,0.326923077,0,0,0,1,1,75,53,15,13,288,123.4,5,90,53,40.57,3,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/IntrospectionHelper.java,14,1,0,24,63,63,20,20,9,0.841346154,822,0.4375,0,0,0.333333333,0,0,56.57142857,5.142857143,32,323,76,159,55,288,37.94,17,482,131,40.14,6,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/Location.java,5,1,0,51,10,8,51,0,3,0.3125,69,0.75,1,0,0.583333333,0,0,12,1.4,3,2,1,2,1,288,284,2,4,2,40.14,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/Main.java,14,1,0,7,82,65,0,7,1,0.816568047,1253,0.846153846,0,0,0.169642857,0,0,87.57142857,2.214285714,4,240,52,161,34,288,26.32,25,401,86,40.14,5,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/NoBannerLogger.java,4,2,0,3,16,0,0,3,4,0.333333333,59,1,0,0.857142857,0.875,1,1,13.5,2,5,90,89,1,1,288,144.5,2,91,89,42.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/PathTokenizer.java,3,1,0,2,15,0,2,0,3,0.166666667,100,1,0,0,0.666666667,0,0,31.33333333,1.666666667,2,4,3,3,2,288,284,2,7,5,40.14,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/Project.java,71,1,0,103,186,2247,99,7,55,0.97244898,2193,0.571428571,0,0,0.127731092,0,0,29.49295775,1.605633803,18,633,185,376,155,288,17.78,42,1009,194,45.57,7,FALSE,TRUE,TRUE
src/main/org/apache/tools/ant/ProjectHelper.java,17,1,0,19,73,112,13,7,5,0.84375,502,1,4,0,0.170454546,0,0,28.17647059,1.117647059,2,446,85,267,85,288,20.82,34,713,126,45.14,6,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/RuntimeConfigurable.java,9,1,0,8,25,10,5,3,7,0.6875,114,1,1,0,0.25,0,0,11.22222222,1,1,25,9,9,4,288,52.71,7,34,10,40.14,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/Target.java,19,1,0,18,47,97,16,5,16,0.833333333,273,1,1,0,0.305263158,0,0,13,1.473684211,3,125,43,69,24,288,40.5,16,194,67,45.42,6,FALSE,TRUE,TRUE
src/main/org/apache/tools/ant/Task.java,19,1,34,78,23,119,75,5,16,0.873015873,125,1,4,0,0.218045113,0,0,5.210526316,1.052631579,2,60,31,49,43,288,45.14,7,109,44,40.14,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/TaskAdapter.java,4,3,0,6,15,0,4,2,4,0.333333333,82,0,0,0.925,0.625,1,1,19.25,1,1,56,34,6,2,288,101,6,62,36,40.14,3,FALSE,FALSE,FALSE
